Faculty,Department,Course
Faculty of engineering,Department of Chemical Engineering,-
,Department of Civil and Environmental Engineering,-
Faculty of Science and Information Technology,Department of Electrical and Electronics Engineering,-
,Department of Mechanical Engineering,-
,Department of Petroleum Engineering,-
-,-,Bachelor of Chemical Engineering with Honours
-,-,MSc in Process Safety
-,-,MSc in Process Integration
-,-,MSc in Chemical Engineering by Research
-,-,PhD in Chemical Engineering by Research
-,-,Bachelor of Civil Engineering with Honours
-,-,MSc in Offshore Engineering by Coursework
-,-,MSc in Offshore Engineering by Coursework (ODL)
-,-,MSc in Civil Engineering by Research
-,-,MSc in Industrial Environmental Engineering
-,-,PhD in Civil Engineering by Research
-,-,Bachelor of Electrical and Electronics Engineering with Honours
-,-,Bachelor of Computer Engineering with Honours
-,-,MSc in Electronic System Engineering
-,-,MSc in Electronic Systems Engineering (ODL)
-,-,MSc in Electrical and Electronics Engineering by Research
-,-,PhD in Electrical and Electronics Engineering by Research
-,-,Bachelor of Mechanical Engineering with Honours
-,-,Bachelor of Materials Engineering with Honours
-,-,MSc in Asset Management and Maintenance
-,-,MSc in Mechanical Engineering by Research
-,-,MSc in Corrosion Engineering
-,-,PhD in Mechanical Engineering by Research??
-,-,Bachelor of Petroleum Engine?ering with Honours
-,-,Master of Science (MSc) in Petroleum Engineering by Coursework and Dissertation
-,-,Master of Sciences (MSc) in Drilling Engineering by Coursework and Dissertation
-,-,Master of Science (MSc) in Petroleum Engineering by Research
-,-,Doctor of Philosophy (PhD) in Petroleum Engineering
-,Department of Chemical Engineering,-
-,Department of Civil and Environmental Engineering,-
-,Department of Electrical and Electronics Engineering,-
-,Department of Mechanical Engineering,-
-,Department of Petroleum Engineering,-
-,-,Bachelor of Chemical Engineering with Honours
-,-,MSc in Process Safety
-,-,MSc in Process Integration
-,-,MSc in Chemical Engineering by Research
-,-,PhD in Chemical Engineering by Research
-,-,Bachelor of Civil Engineering with Honours
-,-,MSc in Offshore Engineering by Coursework
-,-,MSc in Offshore Engineering by Coursework (ODL)
-,-,MSc in Civil Engineering by Research
-,-,MSc in Industrial Environmental Engineering
-,-,PhD in Civil Engineering by Research
-,-,Bachelor of Electrical and Electronics Engineering with Honours
-,-,Bachelor of Computer Engineering with Honours
-,-,MSc in Electronic System Engineering
-,-,MSc in Electronic Systems Engineering (ODL)
-,-,MSc in Electrical and Electronics Engineering by Research
-,-,PhD in Electrical and Electronics Engineering by Research
-,-,Bachelor of Mechanical Engineering with Honours
-,-,Bachelor of Materials Engineering with Honours
-,-,MSc in Asset Management and Maintenance
-,-,MSc in Mechanical Engineering by Research
-,-,MSc in Corrosion Engineering
-,-,PhD in Mechanical Engineering by Research??
-,-,Bachelor of Petroleum Engine?ering with Honours
-,-,Master of Science (MSc) in Petroleum Engineering by Coursework and Dissertation
-,-,Master of Sciences (MSc) in Drilling Engineering by Coursework and Dissertation
-,-,Master of Science (MSc) in Petroleum Engineering by Research
-,-,Doctor of Philosophy (PhD) in Petroleum Engineering
-,Department of Computer & Information Sciences,-
-,Department of Fundamental & Applied Sciences,-
-,Department of Geosciences,-
-,Department of Management & Humanities,-
-,-,Bachelor of Information Systems (Hons)
-,-,Bachelor of Information Technology (Hons)
-,-,Bachelor of Computer Science (Hons)
-,-,Master of Science (MSc) in Information Technology
-,-,Doctor of Philosophy (PhD) in Information Technology
-,-,Master of Science (MSc) in Information Systems
-,-,Doctor of Philosophy (PhD) in Information Systems
-,-,Bachelor Of Science (Hons) in Applied Chemistry
-,-,Master of Science (MSc) in Science
-,-,Doctor of Philosophy (PhD) of Science
-,-,Go to full programme overview
-,-,Reference for GeoScience Students
-,-,Bachelor in Business Management (Hons)
-,-,MBA in Energy Management
-,-,MBA in Energy Management (ODL mode)
-,-,Master of Philosophy in Management
-,-,Master of Philosophy in Social Science and Humanities
-,-,PhD in Management
-,-,PhD in Social Science and Humanities
